Date,Portfolio_Return,Cumulative_Return
2018-01-22,0.0,0.0
2018-01-23,-0.34966474290916877,-0.3496647429091688
2018-01-24,0.006277132120764509,-0.34558250257761836
2018-01-25,-0.002341090982320281,-0.3471145534795065
2018-01-26,0.008658776312098855,-0.3414613644406608
2018-01-27,0.007183511818969573,-0.3367307443688722
2018-01-28,0.014799025016247611,-0.3269150060622793
2018-01-29,-0.010589856777137622,-0.3340428797469204
2018-01-30,-0.026199826434179174,-0.3514908407101568
2018-01-31,0.012373029173621295,-0.343466817962903
2018-02-01,-0.025786164739574225,-0.3603962907519085
2018-02-02,-0.03383178254988865,-0.3820352243612921
2018-02-03,0.008956204651461915,-0.3765006053632771
2018-02-04,-0.024705100094412957,-0.39190422031658323
2018-02-05,-0.06551456066526486,-0.431743348164944
2018-02-06,0.043687056030127715,-0.4069178879767331
2018-02-07,-0.014018973380195969,-0.4152322903174577
2018-02-08,-0.022464593362494196,-0.4283688591269931
2018-02-09,0.024166423560137967,-0.41455457885649105
2018-02-10,-0.004014864206114279,-0.41690506272247363
2018-02-11,-0.011339225352208555,-0.42351690761799543
2018-02-12,0.031239934309225805,-0.40550761368160226
2018-02-13,0.0008351676763615479,-0.4050111128567061
2018-02-14,0.030619789287355013,-0.3867926785040606
2018-02-15,0.023962632233645486,-0.3720986169760746
2018-02-16,-7.902599425549741e-05,-0.3721482375071624
2018-02-17,0.011356357300886936,-0.36501812856030214
2018-02-18,-0.010469493714666264,-0.37166606727226703
2018-02-19,0.008323024370738511,-0.36643642863721204
2018-02-20,-0.0024157954825791,-0.367966988650837
2018-02-21,-0.01324056430630003,-0.3763354623813101
2018-02-22,-0.00621010954656521,-0.38020848748023006
2018-02-23,0.02271002196021045,-0.36613300862015397
2018-02-24,-0.007631215348078045,-0.370970184133412
2018-02-25,-0.0010135047042526286,-0.371607708810908
2018-02-26,0.021122231111415604,-0.35833466160777994
2018-02-27,-0.005740870618081967,-0.36201837929559744
2018-02-28,-0.012621948509806746,-0.3700709504623314
2018-03-01,-0.007760286154267004,-0.3749593801436292
2018-03-02,0.005325327671217924,-0.3716308340350728
2018-03-03,0.0036165823939900144,-0.3693582851725179
2018-03-04,0.0012958142939528561,-0.3685410906240816
2018-03-05,0.005356859520175119,-0.36515845395379176
2018-03-06,-0.010968659614228528,-0.3721218147813432
2018-03-07,-0.013108974906265268,-0.38035265415556596
2018-03-08,-0.00866490256796522,-0.3857218380338062
2018-03-09,0.015875207138620746,-0.3759700449718616
2018-03-10,-0.011120448414551981,-0.3829095378958872
2018-03-11,0.012901461974272482,-0.37494816876436476
2018-03-12,0.0013864140755313298,-0.37408158810760306
2018-03-13,-0.011451539258642444,-0.38124931737409595
2018-03-14,-0.02842241410417093,-0.3988357055029278
2018-03-15,-0.0006880547013316928,-0.3992493394220292
2018-03-16,-0.004472358078299311,-0.4019361114919088
2018-03-17,-0.013661236595005049,-0.41010640377174656
2018-03-18,0.0012117153920537162,-0.4093916206215229
2018-03-19,-0.0072892728638242876,-0.41369672625447373
2018-03-20,0.005479588984581473,-0.4104840252940336
2018-03-21,-0.001264985194055095,-0.41122975427369557
2018-03-22,-0.026704842430980903,-0.4269527709138664
2018-03-23,-0.01881651028356481,-0.4377355199929339
2018-03-24,-0.004883469016642559,-0.4404813211602071
2018-03-25,-0.0024178633789932527,-0.4418341608836366
2018-03-26,0.004029198224664568,-0.43958520007560054
2018-03-27,-0.0380726201513548,-0.46092165988031975
2018-03-28,0.0014996228080512255,-0.46011324570614986
2018-03-29,-0.049004252617135494,-0.4865699925982111
2018-03-30,-0.019357288297138096,-0.49650860527188934
2018-03-31,0.0060332919334241735,-0.4934708947015277
2018-04-01,-0.009792091803548949,-0.4984308742017799
2018-04-02,0.012270045341031844,-0.492276598286574
2018-04-03,0.031937666790096665,-0.47606109746111624
2018-04-04,-0.0334662668617711,-0.493595376592746
2018-04-05,0.0010327897000464758,-0.4930723671136351
2018-04-06,-0.025938151427633293,-0.5062211328182933
2018-04-07,0.02068274321401286,-0.49600843130386796
2018-04-08,0.00845533813081652,-0.49174701217546146
2018-04-09,-0.014241397405689016,-0.49898524495769947
2018-04-10,0.014567676145509464,-0.4916866242621215
2018-04-11,0.007527503913356048,-0.4878602933370434
2018-04-12,0.06804254160036691,-0.4530130060412294
2018-04-13,0.0017536523508930755,-0.4520537810133657
2018-04-14,0.00586031145735534,-0.4488426455082237
2018-04-15,0.021603512949275386,-0.4369357104633723
2018-04-16,-0.014066452233763186,-0.4448560273966772
2018-04-17,-0.002993425714591224,-0.44651780963956833
2018-04-18,0.016146704023341705,-0.4375808965296276
2018-04-19,-0.003023930991878349,-0.43928161308703617
2018-04-20,0.014349529816347253,-0.4312355678754545
2018-04-21,0.0026351018679162384,-0.42973681565795874
2018-04-22,-0.004993316506973925,-0.4325843202296533
2018-04-23,0.006021625922669232,-0.4291675552634192
2018-04-24,0.03468163188935525,-0.4093701545445644
2018-04-25,-0.045677672975271554,-0.43634875147471297
2018-04-26,0.02761341993400299,-0.42078441285285917
2018-04-27,-0.02052577598814185,-0.43267326224348146
2018-04-28,0.020265503316566385,-0.4211761003579
2018-04-29,0.003837621896951792,-0.41895479308615446
2018-04-30,-0.00294558643076061,-0.4206663119632984
2018-05-01,0.003906820061138072,-0.4184029594887835
2018-05-02,0.024200029989955803,-0.4043282936663425
2018-05-03,0.02824692411587285,-0.38750240017956317
2018-05-04,0.01521168844268369,-0.37818527751920317
2018-05-05,0.008428007740863122,-0.37294461822475233
2018-05-06,-0.010717765385566406,-0.37966525069037627
2018-05-07,-0.011519274765989072,-0.38681105711456476
2018-05-08,-0.005556602283943518,-0.39021830419509085
2018-05-09,0.008764034623775913,-0.3848741563001119
2018-05-10,-0.009204597324271783,-0.3905361419951223
2018-05-11,-0.03691520856175498,-0.41303462742422425
