,Weight
AAPL,0.010017733100228621
MSFT,0.010000388499377994
GOOGL,0.010000368252490968
AMZN,0.01000036788726468
TSLA,0.49999592817224336
SPY,0.010000331616613274
QQQ,0.01000036577233821
VTI,0.010000324215770877
BTC-USD,0.4199838426798396
ETH-USD,0.010000349803832178
